p2p_type,num_mix_layers,cover_message_prob,mix_delay,global_precision,global_recall,global_f1_score,target_accuracy_median,target_accuracy_std,target_accuracy_min,target_accuracy_25p,target_accuracy_mean,target_accuracy_75p,target_accuracy_max
1-to-all,0,0.0,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,0,0.1,0,18.6046511627907,100.0,31.372549019607845,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,0,0.2,0,23.157894736842106,100.0,37.6068376068376,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,0,0.3,0,17.17171717171717,100.0,29.3103448275862,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,1,0.0,0,100.0,100.0,100.0,50.0,27.386127875258307,33.33333333333333,50.0,66.66666666666667,100.0,100.0
1-to-all,1,0.1,0,21.518987341772153,100.0,35.41666666666667,10.555555555555555,4.289387252569091,6.25,9.318181818181818,11.499403374403373,12.5,25.0
1-to-all,1,0.2,0,20.408163265306122,100.0,33.898305084745765,4.3478260869565215,1.064716488345387,2.7777777777777777,4.166666666666666,4.748639137369114,5.263157894736842,7.142857142857142
1-to-all,1,0.3,0,13.131313131313133,100.0,23.21428571428572,3.3333333333333335,0.4835588183696303,2.4390243902439024,3.0539772727272725,3.289326227500298,3.4482758620689653,4.0
1-to-all,2,0.0,0,100.0,100.0,100.0,50.0,30.731814857642963,33.33333333333333,33.33333333333333,62.5,100.0,100.0
1-to-all,2,0.1,0,21.686746987951807,100.0,35.64356435643564,9.090909090909092,2.9511091437139054,7.6923076923076925,8.333333333333332,10.668458525601384,12.5,16.666666666666664
1-to-all,2,0.2,0,17.17171717171717,100.0,29.3103448275862,4.772727272727273,1.517418864339985,3.7037037037037033,4.21195652173913,5.229772314519028,5.88235294117647,8.333333333333332
1-to-all,2,0.3,0,19.19191919191919,100.0,32.20338983050847,3.225806451612903,0.39312356236984713,2.7777777777777777,3.125,3.350887277298567,3.7037037037037033,3.8461538461538463
1-to-all,3,0.0,0,100.0,100.0,100.0,100.0,32.338083338177725,33.33333333333333,33.33333333333333,72.22222222222221,100.0,100.0
1-to-all,3,0.1,0,16.470588235294116,100.0,28.282828282828284,9.166666666666666,2.2034971259087777,6.25,7.852564102564102,9.674145299145298,12.152777777777779,12.5
1-to-all,3,0.2,0,16.161616161616163,100.0,27.82608695652174,5.131578947368421,0.8437177952608307,3.125,4.5995670995671,5.08918183464537,5.88235294117647,5.88235294117647
1-to-all,3,0.3,0,16.161616161616163,100.0,27.82608695652174,3.571428571428571,0.6071582079904736,2.941176470588235,2.941176470588235,3.5602522403023538,4.0,5.0
gossip,0,0.0,0,100.0,100.0,100.0,100.0,13.844373104863458,50.0,100.0,96.0,100.0,100.0
gossip,0,0.1,0,25.581395348837212,100.0,40.74074074074075,33.33333333333333,33.355058782757894,6.25,16.666666666666664,42.353814988430365,50.0,100.0
gossip,0,0.2,0,21.21212121212121,100.0,34.99999999999999,16.666666666666664,29.65823962793278,4.545454545454546,8.333333333333332,28.250577087558728,33.33333333333333,100.0
gossip,0,0.3,0,16.0,100.0,27.586206896551722,9.090909090909092,26.889855352443877,2.5,6.25,22.139198132019306,27.083333333333332,100.0
gossip,1,0.0,0,100.0,100.0,100.0,100.0,26.111648393354674,50.0,50.0,77.27272727272727,100.0,100.0
gossip,1,0.1,0,17.24137931034483,100.0,29.41176470588236,9.545454545454547,6.059468261509824,8.333333333333332,9.090909090909092,11.66779401154401,12.5,33.33333333333333
gossip,1,0.2,0,19.587628865979383,100.0,32.758620689655174,5.263157894736842,2.6675474246775224,3.7037037037037033,4.545454545454546,5.609466489598406,5.263157894736842,16.666666666666664
gossip,1,0.3,0,22.0,100.0,36.0655737704918,3.7037037037037033,0.9160598857343621,2.857142857142857,3.3620689655172415,3.843721629198569,4.050925925925926,6.25
gossip,2,0.0,0,23.157894736842106,100.0,37.6068376068376,33.33333333333333,37.12662068164611,2.857142857142857,10.795454545454547,42.426595143986454,75.0,100.0
gossip,2,0.1,0,18.181818181818183,100.0,30.76923076923077,7.6923076923076925,2.7804557733541913,3.0303030303030303,5.0,7.409481356849778,10.0,11.11111111111111
gossip,2,0.2,0,15.0,100.0,26.08695652173913,3.8461538461538463,1.2241427103675966,1.4705882352941175,3.0303030303030303,3.5156305993901906,4.0,6.25
gossip,2,0.3,0,19.0,100.0,31.932773109243698,3.125,0.8305457174085623,1.2345679012345678,2.272727272727273,2.8054490290275624,3.3122119815668203,3.7037037037037033
gossip,3,0.0,0,17.0,100.0,29.05982905982906,3.3333333333333335,34.44621772314927,1.6129032258064515,2.1165780141843973,22.259486584613253,31.25,100.0
gossip,3,0.1,0,12.0,100.0,21.428571428571427,9.090909090909092,4.350041393990425,2.1739130434782608,9.090909090909092,8.88079119963178,10.0,16.666666666666664
gossip,3,0.2,0,14.14141414141414,100.0,24.778761061946902,5.0,1.4150913057792438,1.5151515151515151,3.225806451612903,4.217988467751566,5.0,6.25
gossip,3,0.3,0,21.0,100.0,34.710743801652896,3.0303030303030303,0.9983480122032289,1.3157894736842104,1.4870500438981562,2.583031727692883,3.134796238244514,3.8461538461538463
