num_nodes,config,ingress_mean,ingress_max,egress_mean,egress_max
10,1-to-all: 0: 0.0,0.390625,0.625,3.125,3.125
10,1-to-all: 0: 0.02,0.3125,0.3125,3.125,3.125
10,1-to-all: 2: 0.0,4.125,4.125,16.5,27.5
10,1-to-all: 2: 0.02,2.75,4.125,13.75,13.75
10,1-to-all: 4: 0.0,12.03125,12.03125,25.32894736842105,48.125
10,1-to-all: 4: 0.02,12.03125,12.03125,25.32894736842105,48.125
200,1-to-all: 0: 0.0,0.6,1.5625,62.5,62.5
200,1-to-all: 0: 0.02,1.4732142857142858,2.8125,62.5,62.5
200,1-to-all: 2: 0.0,10.3125,20.625,276.41752577319585,550.0
200,1-to-all: 2: 0.02,10.525862068965518,20.625,278.7671232876712,550.0
200,1-to-all: 4: 0.0,24.525240384615383,48.125,496.2305447470817,962.5
200,1-to-all: 4: 0.02,26.717672413793103,72.1875,493.5111464968153,962.5
400,1-to-all: 0: 0.0,1.3038793103448276,2.8125,125.0,125.0
400,1-to-all: 0: 0.02,2.726293103448276,4.375,125.0,125.0
400,1-to-all: 2: 0.0,16.78448275862069,41.25,562.7167630057803,1100.0
400,1-to-all: 2: 0.02,23.232758620689655,49.5,562.6304801670146,1100.0
400,1-to-all: 4: 0.0,49.369612068965516,132.34375,994.2491319444445,2887.5
400,1-to-all: 4: 0.02,59.741379310344826,129.9375,1005.8055152394775,2887.5
600,1-to-all: 0: 0.0,1.918103448275862,3.75,187.5,187.5
600,1-to-all: 0: 0.02,3.9331896551724137,6.875,187.5,187.5
600,1-to-all: 2: 0.0,25.03448275862069,49.5,831.2977099236641,1650.0
600,1-to-all: 2: 0.02,33.23706896551724,68.75,839.3686502177068,1650.0
600,1-to-all: 4: 0.0,71.77262931034483,192.5,1488.4907628128724,4331.25
600,1-to-all: 4: 0.02,79.82112068965517,180.46875,1482.2705442902882,2887.5
800,1-to-all: 0: 0.0,2.456896551724138,4.375,250.0,250.0
800,1-to-all: 0: 0.02,5.226293103448276,7.5,250.0,250.0
800,1-to-all: 2: 0.0,32.28879310344828,49.5,1114.732142857143,2200.0
800,1-to-all: 2: 0.02,41.25,72.875,1127.208480565371,3300.0
800,1-to-all: 4: 0.0,95.00538793103448,156.40625,1971.489266547406,3850.0
800,1-to-all: 4: 0.02,122.13793103448276,192.5,1980.1537386443047,5775.0
1000,1-to-all: 0: 0.0,2.877155172413793,5.9375,312.5,312.5
1000,1-to-all: 0: 0.02,6.228448275862069,9.375,312.5,312.5
1000,1-to-all: 2: 0.0,45.23275862068966,74.25,1388.095238095238,2750.0
1000,1-to-all: 2: 0.02,52.866379310344826,74.25,1392.4841053587647,4125.0
1000,1-to-all: 4: 0.0,120.72737068965517,192.5,2458.6332514044943,4812.5
1000,1-to-all: 4: 0.02,136.57543103448276,223.78125,2461.58328154133,7218.75
