num_nodes,config,ingress_mean,ingress_max,egress_mean,egress_max
10,gossip: 0: 0.0,1.65625,2.5,1.65625,1.875
10,gossip: 0: 0.02,1.6875,2.5,1.6875,1.875
10,gossip: 2: 0.0,21.93125,33.0,21.93125,23.375
10,gossip: 2: 0.02,7.5625,12.375,7.5625,8.25
10,gossip: 4: 0.0,72.66875,105.875,72.66875,84.21875
10,gossip: 4: 0.02,46.248125,93.84375,46.248125,72.1875
200,gossip: 0: 0.0,4.8561875,24.0625,4.8561875,11.25
200,gossip: 0: 0.02,8.74229525862069,37.5,8.74229525862069,18.75
200,gossip: 2: 0.0,60.64959202175884,288.75,60.815,123.75
200,gossip: 2: 0.02,67.73155172413793,330.0,67.73155172413793,165.0
200,gossip: 4: 0.0,169.6930894308943,620.8125,174.26546489563566,360.9375
200,gossip: 4: 0.02,183.93375,690.59375,184.40130926724137,404.25
400,gossip: 0: 0.0,6.451481681034482,32.8125,6.451481681034482,13.125
400,gossip: 0: 0.02,15.15870150862069,64.0625,15.15870150862069,28.125
400,gossip: 2: 0.0,103.01286637931034,474.375,103.08695043103448,222.75
400,gossip: 2: 0.02,133.36148706896552,496.375,133.36207974137932,255.75
400,gossip: 4: 0.0,238.6203448275862,1217.5625,239.8322528668736,664.125
400,gossip: 4: 0.02,348.4793480603448,1241.625,349.7957327586207,678.5625
600,gossip: 0: 0.0,10.845707614942528,48.125,10.845707614942528,20.625
600,gossip: 0: 0.02,21.99876077586207,85.0,21.99876077586207,31.875
600,gossip: 2: 0.0,134.6136063218391,833.25,134.6136063218391,297.0
600,gossip: 2: 0.02,186.97431752873564,603.625,186.98158764367815,288.75
600,gossip: 4: 0.0,468.0078807471264,1722.875,469.76112428160917,851.8125
600,gossip: 4: 0.02,596.8570366379311,2057.34375,598.305626795977,1025.0625
800,gossip: 0: 0.0,13.49982489224138,70.0,13.49982489224138,30.0
800,gossip: 0: 0.02,31.12440732758621,96.25,31.12440732758621,41.25
800,gossip: 2: 0.0,204.4971713362069,820.875,204.60337823275862,363.0
800,gossip: 2: 0.02,263.0346551724138,1427.25,263.1884536637931,486.75
800,gossip: 4: 0.0,510.1774811422414,1944.25,511.705864762931,895.125
800,gossip: 4: 0.02,677.2293130387931,2057.34375,678.0591581357759,981.75
1000,gossip: 0: 0.0,17.376422413793104,89.0625,17.376422413793104,35.625
1000,gossip: 0: 0.02,35.141433189655174,138.125,35.141433189655174,63.75
1000,gossip: 2: 0.0,248.81137068965518,979.0,249.05687931034484,404.25
1000,gossip: 2: 0.02,327.9825431034483,1344.75,328.2077586206897,552.75
1000,gossip: 4: 0.0,710.1483480603448,2632.4375,711.7312456896552,1212.75
1000,gossip: 4: 0.02,836.671213362069,2622.8125,839.1504806034483,1284.9375
